"","BCAS1","HERC1","VTN","AREG","CISH","GRB14","RAP2C","INSIG2","FRAS1","SYNPO2L","MGAT5B","TMC7","MT1X","SESTD1","MT1M","RBPMS.AS1","LINC00052","LOO_ELPD","Sensitivity","Specificity","Accuracy","TP","TN","FP","FN","Current_ELPD","Acceptance"
"1",1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,NA,-80.7894569734511,NA,0.68503937007874,0.68503937007874,0,87,40,0,-81,1
"2",1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,-80.6412331141441,NA,0.68503937007874,0.68503937007874,0,87,40,0,-80.7894569734511,1
"3",1,3,4,5,6,7,8,9,10,11,12,13,15,16,17,1,NA,-80.9969615122992,NA,0.68503937007874,0.68503937007874,0,87,40,0,-80.6412331141441,0.700662895729623
"4",1,4,5,6,7,8,9,10,11,12,13,15,16,17,1,NA,NA,-81.1380874578462,NA,0.68503937007874,0.68503937007874,0,87,40,0,-80.9969615122992,0.868379936224037
"5",1,4,5,6,7,8,9,10,11,12,13,15,16,17,1,14,NA,-80.8897705671453,NA,0.68503937007874,0.68503937007874,0,87,40,0,-81.1380874578462,1
"6",1,4,5,6,7,8,9,10,11,12,13,15,16,17,1,NA,NA,-81.1141623057052,NA,0.68503937007874,0.68503937007874,0,87,40,0,-80.8897705671453,0.799002073132757
"7",1,4,5,6,7,8,9,10,11,12,15,16,17,1,NA,NA,NA,-80.7219288311341,NA,0.68503937007874,0.68503937007874,0,87,40,0,-81.1141623057052,1
"8",1,4,5,6,7,8,9,10,11,15,16,17,1,NA,NA,NA,NA,-81.1582782122388,NA,0.68503937007874,0.68503937007874,0,87,40,0,-80.7219288311341,NA
"9",1,4,5,6,7,8,9,10,11,12,15,16,17,1,2,NA,NA,-80.0756936330756,0,0.682539682539683,0.677165354330709,0,86,40,1,-80.7219288311341,1
"10",1,4,5,6,7,8,9,10,11,12,15,16,17,1,2,3,NA,-79.6347970099164,0.5,0.688,0.68503937007874,1,86,39,1,-80.0756936330756,1
"11",1,4,5,6,8,9,10,11,12,15,16,17,1,2,3,NA,NA,-80.0593674261112,0,0.68,0.669291338582677,0,85,40,2,-79.6347970099164,NA
"12",1,4,5,6,7,8,9,10,11,12,15,16,1,2,3,NA,NA,-79.5524416646389,0.25,0.682926829268293,0.669291338582677,1,84,39,3,-79.6347970099164,1
"13",1,4,5,6,7,8,9,10,11,12,16,1,2,3,NA,NA,NA,-78.5796587326682,0.625,0.705882352941177,0.700787401574803,5,84,35,3,-79.5524416646389,1
"14",2,12,9,8,16,4,10,3,6,7,5,1,11,14,NA,NA,NA,-77.8729514957107,0.636363636363636,0.71551724137931,0.708661417322835,7,83,33,4,-78.5796587326682,1
"15",6,3,10,5,7,16,8,14,11,2,4,9,1,15,NA,NA,NA,-79.7906625049181,0,0.68,0.669291338582677,0,85,40,2,-77.8729514957107,NA
"16",2,12,4,7,3,5,10,16,14,1,11,6,8,13,NA,NA,NA,-79.8498894825179,0,0.682539682539683,0.677165354330709,0,86,40,1,-77.8729514957107,NA
"17",2,12,9,8,16,4,10,3,6,7,1,11,14,NA,NA,NA,NA,-76.6095652486819,0.727272727272727,0.724137931034483,0.724409448818898,8,84,32,3,-77.8729514957107,1
"18",2,12,9,8,16,4,10,3,6,7,1,11,NA,NA,NA,NA,NA,-77.1525430767145,0.6,0.709401709401709,0.700787401574803,6,83,34,4,-76.6095652486819,NA
"19",2,12,9,8,16,4,10,3,6,7,1,11,14,5,NA,NA,NA,-77.8443239578173,0.555555555555556,0.703389830508475,0.692913385826772,5,83,35,4,-76.6095652486819,NA
"20",2,12,9,8,16,4,10,3,6,7,1,11,14,15,NA,NA,NA,-78.0116761551284,0.5,0.697478991596639,0.68503937007874,4,83,36,4,-76.6095652486819,0.246076969843257
"21",16,1,12,3,6,7,11,14,8,15,2,10,4,17,NA,NA,NA,-78.8101709135897,0.6,0.69672131147541,0.692913385826772,3,85,37,2,-78.0116761551284,NA
"22",2,12,9,8,16,4,10,3,6,7,1,11,14,NA,NA,NA,NA,-76.6886355604979,0.636363636363636,0.71551724137931,0.708661417322835,7,83,33,4,-78.0116761551284,1
"23",2,12,9,8,16,4,3,6,7,1,11,14,NA,NA,NA,NA,NA,-76.2766369339706,0.727272727272727,0.724137931034483,0.724409448818898,8,84,32,3,-76.6886355604979,1
"24",2,12,9,8,16,4,3,6,7,1,11,14,13,NA,NA,NA,NA,-77.8610547961333,0.75,0.714285714285714,0.716535433070866,6,85,34,2,-76.2766369339706,NA
"25",2,12,9,8,16,4,3,6,7,11,14,NA,NA,NA,NA,NA,NA,-76.1743445618854,0.833333333333333,0.739130434782609,0.748031496062992,10,85,30,2,-76.2766369339706,1
"26",7,6,2,8,3,9,4,16,11,12,17,NA,NA,NA,NA,NA,NA,-77.0025119750321,0.8,0.726495726495726,0.732283464566929,8,85,32,2,-76.1743445618854,NA
"27",2,12,8,16,4,3,6,7,11,14,NA,NA,NA,NA,NA,NA,NA,-76.9724339888961,0.888888888888889,0.728813559322034,0.740157480314961,8,86,32,1,-76.1743445618854,NA
"28",12,3,4,8,7,6,14,9,16,11,17,NA,NA,NA,NA,NA,NA,-77.7108286088769,1,0.725,0.740157480314961,7,87,33,0,-76.1743445618854,NA
"29",2,12,9,8,16,4,3,6,7,11,14,15,NA,NA,NA,NA,NA,-77.8674955457398,0.625,0.705882352941177,0.700787401574803,5,84,35,3,-76.1743445618854,0.183939021010136
"30",2,12,9,8,16,4,3,6,7,11,14,15,17,NA,NA,NA,NA,-77.9108193439712,0.714285714285714,0.708333333333333,0.708661417322835,5,85,35,2,-77.8674955457398,0.957601270263909
"31",8,14,11,6,3,7,17,2,4,12,16,9,1,NA,NA,NA,NA,-76.4751962637022,0.9,0.735042735042735,0.748031496062992,9,86,31,1,-77.9108193439712,1
"32",8,14,11,6,3,7,17,2,4,12,16,9,1,15,NA,NA,NA,-77.8528270964978,0.857142857142857,0.716666666666667,0.724409448818898,6,86,34,1,-76.4751962637022,NA
