Entrez_ID,Name,MCF7_OH_1,MCF7_OH_2,MCF7_OH_3,MCF7_TAMR_1,MCF7_TAMR_2,MCF7_TAMR_3
1,A1BG,104,50,73,43,58,73
2,A2M,3,1,3,1,1,7
3,A2MP1,0,0,0,2,0,0
9,NAT1,44,30,34,34,22,29
10,NAT2,0,1,0,2,1,2
12,SERPINA3,776,410,1085,340,557,549
13,AADAC,0,0,1,2,0,0
14,AAMP,4361,2624,3469,2385,3399,3515
15,AANAT,0,1,0,1,1,4
16,AARS,11772,7970,11002,8565,12721,12120
18,ABAT,2886,1822,2033,2553,2765,2843
19,ABCA1,0,3,2,7,7,9
20,ABCA2,2604,1983,2080,2092,3360,2850
21,ABCA3,2463,1612,2116,1750,2593,2509
22,ABCB7,81,79,102,116,152,129
23,ABCF1,1863,1220,1329,1423,1554,1643
24,ABCA4,7,8,3,26,22,36
25,ABL1,1607,1001,1097,912,1325,1189
26,AOC1,10,9,13,3,0,1
27,ABL2,214,153,137,287,266,264
28,ABO,0,0,0,0,0,0
29,ABR,1493,901,1155,871,1196,1201
30,ACAA1,1506,814,1353,860,1214,1265
31,ACACA,1938,1261,1147,1827,2172,1926
32,ACACB,1075,751,712,690,778,651
33,ACADL,0,0,0,0,0,0
34,ACADM,49,74,70,55,92,72
35,ACADS,173,116,204,36,73,77
36,ACADSB,97,115,88,159,215,168
37,ACADVL,2657,1618,2631,981,1558,1449
38,ACAT1,197,139,138,301,274,231
39,ACAT2,1323,723,921,785,837,936
40,ASIC2,0,0,0,0,0,0
41,ASIC1,69,52,70,140,276,260
43,ACHE,8,6,2,22,33,23
47,ACLY,6647,4072,4967,5268,6828,6643
48,ACO1,742,439,593,721,868,911
49,ACR,2,2,0,0,0,0
50,ACO2,3478,2217,3190,2013,2907,3009
51,ACOX1,466,267,404,658,677,743
52,ACP1,1029,569,711,817,899,933
53,ACP2,654,402,567,395,582,577
54,ACP5,10,9,4,2,2,2
55,ACPP,75,50,65,30,38,39
56,ACRV1,8,1,3,2,1,2
58,ACTA1,226,219,216,189,221,245
59,ACTA2,28,26,29,35,56,60
60,ACTB,92091,52680,74693,55005,76143,82757
70,ACTC1,11,8,6,3,14,17
71,ACTG1,64762,40925,65456,44577,64775,71945
72,ACTG2,12,8,12,15,16,38
81,ACTN4,9142,5903,7191,5742,7918,8734
86,ACTL6A,1628,980,1315,1071,1143,1168
87,ACTN1,4950,3079,3918,2786,3882,4034
88,ACTN2,0,0,0,0,0,0
89,ACTN3,1,0,1,0,0,0
90,ACVR1,161,97,125,138,137,163
91,ACVR1B,640,439,495,253,397,362
92,ACVR2A,19,12,10,32,19,22
93,ACVR2B,123,104,92,109,133,111
94,ACVRL1,11,9,5,0,2,3
95,ACY1,74,35,75,20,38,47
97,ACYP1,57,40,53,42,60,47
98,ACYP2,79,42,75,39,37,80
100,ADA,78,67,111,38,67,58
101,ADAM8,36,30,10,22,32,33
102,ADAM10,83,99,67,159,248,209
103,ADAR,4844,3200,3343,2823,3691,3235
104,ADARB1,678,421,434,554,611,636
105,ADARB2,2,0,1,0,1,1
107,ADCY1,1114,762,822,498,722,589
108,ADCY2,0,0,0,0,0,0
109,ADCY3,1435,891,1029,727,997,977
111,ADCY5,150,83,104,1363,2073,2122
112,ADCY6,2438,1500,1565,1342,1871,1836
113,ADCY7,13,17,11,21,34,25
114,ADCY8,0,0,0,0,0,0
115,ADCY9,2131,1314,1238,810,996,1047
116,ADCYAP1,0,0,0,0,0,0
117,ADCYAP1R1,0,0,0,0,0,0
118,ADD1,4799,3117,3593,3113,4523,4200
119,ADD2,0,0,0,0,0,0
120,ADD3,13,18,22,1,3,1
123,PLIN2,37,29,37,25,31,31
124,ADH1A,0,0,0,0,0,0
125,ADH1B,0,0,0,0,0,0
126,ADH1C,0,0,0,0,0,0
127,ADH4,0,0,0,0,0,0
128,ADH5,1659,997,1529,1043,1246,1355
130,ADH6,0,0,0,1,0,0
131,ADH7,0,0,0,0,0,0
132,ADK,793,529,555,716,726,662
133,ADM,3,2,3,18,25,22
134,ADORA1,130,115,186,64,102,108
135,ADORA2A,0,1,1,2,0,0
136,ADORA2B,3,2,3,6,6,4
140,ADORA3,1,1,0,0,0,0
141,ADPRH,40,29,30,19,20,15
142,PARP1,3012,1623,1888,1865,2193,2154
143,PARP4,1000,837,1009,507,609,667
146,ADRA1D,1,0,0,0,0,0
147,ADRA1B,0,3,1,0,2,4
148,ADRA1A,33,22,22,21,30,32
150,ADRA2A,121,97,102,14,19,18
